ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,Sq Ft,PERMIT#,APPL. TYPE,ISSUED DATE
868,BALSAM DR ,K1E1B5,Ward 1,19,61,***CONTRACTOR***,Single,Cumberland,Finish the basement in a 1 storey detached dwelling,0,32973.86,862.9,1600027,Construction,2016-01-05 11:25
3161,GREENBANK RD ,K2J4H9,Ward 22,4M-1134,,CONTRACTOR UNKNOWN,Retail,Nepean,"Tenant fit up in a 1 storey retail building (Unit #A5, The Shoe Company)",0,180000,7416.34,1600028,Construction,2016-01-05 11:39
117,CENTREPOINTE DR ,K2G5X3,Ward 8,4M721,,HOUSE OF CANVAS,Retail,Nepean,TEMPORARY PERMIT: Install a canvas vestibule at the entrance of a 2 storey retail building (Royal Oak Main entrance),0,5500,148,1600029,Construction,2016-01-05 12:29
700,SILVER SEVEN RD ,K2V1C3,Ward 23,,1,CONTRACTOR UNKNOWN,Office,Kanata,Interior alterations to a portion of the 5th floor of a 5 storey office building (Kinaxis),0,300000,3982.64,1600030,Construction,2016-01-05 12:57
569,SUMMERHILL ST ,K4M0B9,Ward 22,4M-1470,107,CLARIDGE HOMES (RIVER ROAD) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Marseille II 2012 B,1,432988,2913,1600031,Construction,2016-01-05 13:46
2161,LAMBETH WALK ,K2C1E9,Ward 8,384630,338,ASCENT CONTRACTING,Single,Old Ottawa,Construct a secondary dwelling unit in the basement of a 1 storey detached dwelling,1,50000,950,1600033,Construction,2016-01-05 14:34
317  -305,METCALFE ST ,K2P1S3,Ward 14,248,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to the 3rd floor of a 4 storey apartment (Unit 305),0,5000,32.29,1600034,Construction,2016-01-05 15:29
2106,JOCKVALE RD ,K2J6A6,Ward 3,4M-1504,19,CLARIDGE HOMES (CEDARVIEW) LIMITED PARTNERSHIP,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Copenhagen III 2013 B 4 bed,1,307536,2069,1600035,Construction,2016-01-05 15:45
2110,JOCKVALE RD ,K2J6A6,Ward 3,4M-1504,21,CLARIDGE HOMES (CEDARVIEW) LIMITED PARTNERSHIP,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Copenhagen III 2013 B 4 bed,1,307536,2069,1600036,Construction,2016-01-05 15:54
542,PEERLESS ST ,K2J6A7,Ward 3,4M-1504,87,CLARIDGE HOMES (CEDARVIEW) LIMITED PARTNERSHIP,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Athens II 2012 B,1,369816,2488,1600038,Construction,2016-01-05 16:09
532,PEERLESS ST ,K2J6A5,Ward 3,4M-1504,82,CLARIDGE HOMES (CEDARVIEW) LIMITED PARTNERSHIP,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Athens II 2012 B,1,369816,2488,1600040,Construction,2016-01-05 16:27
1701,WOODROFFE AVE ,K2G1W2,Ward 9,4M-,,CONTRACTOR UNKNOWN,Institutional,Nepean,Interior alterations to a 2 storey recreation complex (Nepean Sportsplex) to repair/upgrade/install fire stopping and fire separations - multiple locations.,0,68159,200,1600041,Construction,2016-01-06 8:33
59,GLENCAIRN AVE ,K1S1M5,Ward 17,283252,75,INWOOD RENOVATIONS INC.,Single,Old Ottawa,PLUMBING ONLY: Relocate plumbing fixutures in main bathroom on 1st floor of a 2 storey detached dwelling,0,0,0,1600042,Construction,2016-01-06 8:51
536,PEERLESS ST ,K2J6A7,Ward 3,4M-1504,84,CLARIDGE HOMES (CEDARVIEW) LIMITED PARTNERSHIP,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Athens II 2012 B,1,369816,2488,1600043,Construction,2016-01-06 9:04
465 A ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
465 B ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
465 C ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
465 D ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
465 E ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
465 F ,VIA VERONA AVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block E),6,987119.73,8854.68,1600045,Construction,2016-01-06 9:11
320,VIA CHIANTI GROVE ,,Ward 3,4M-1463,,CONTRACTOR UNKNOWN,Apartment,Nepean,"Construct a 3 storey, 26 unit apartment building (Block A)",26,2102331.09,18858.37,1600046,Construction,2016-01-06 9:11
435,VIA VERONA AVE ,K2J6J5,Ward 3,4M-1463,,CONTRACTOR UNKNOWN,Apartment,Nepean,"Construct a 3 storey, 24 unit apartment building (Block B)",24,2102331.09,18858.37,1600047,Construction,2016-01-06 9:21
350 A ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
350 B ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
350 C ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
350 D ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
350 E ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
350 F ,VIA CHIANTI GROVE ,,Ward 3,4M1463,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a 3 storey block of 6 rowhouse dwellings (Block F),6,987087.4,8854.39,1600048,Construction,2016-01-06 9:28
881,WINGATE DR ,K1G1S4,Ward 18,699,1425,***CONTRACTOR***,Single,Old Ottawa,Interior alterations to add a secondary dwelling unit in the basement of a 1 storey detached dwelling,1,20000,1100,1600049,Construction,2016-01-06 9:45
1651,MERIVALE RD ,K2G3K2,Ward 9,,32,CONTRACTOR UNKNOWN,Retail,Nepean,Interior alteration in a 1 storey retail building (Winners),0,625000,8000,1600050,Construction,2016-01-06 9:52
78,MARIER AVE ,K1L5S1,Ward 12,M-44,125,BELANGER PLUMBING & HEATING LTD.,Single,Vanier,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewer in a detached dwelling (Mainline),0,0,0,1600051,Construction,2016-01-06 9:53
124,CHEYENNE WAY ,K2J0E9,Ward 3,4M-1277,31,***CONTRACTOR***,Single,Nepean,Install an enclosure for a hot tub  (rear yard),0,0,0,1600052,Pool Enclosure,2016-01-06 10:36
2121,CARLING AVE ,K2A1S3,Ward 7,316039,,TERLIN CONSTRUCTION LTD.,Retail,Old Ottawa,"Expansion of existing dental office into the adjoining suite, in a 1 storey retail building (Carlingwood Dental)",0,100000,1200,1600053,Construction,2016-01-06 10:44
455,DUCHESS AVE ,K2A1Y4,Ward 15,4M-28,128,EASTERN ONTARIO CONSTRUCTION COMPANY LTD.,Single,Old Ottawa,Construct a shared rooftop deck on a 3 storey semi-detached dwelling,0,6000,624.31,1600054,Construction,2016-01-06 10:48
429,LOCHABER AVE ,K2A0A5,Ward 15,4M-28,128,EASTERN ONTARIO CONSTRUCTION COMPANY LTD.,Semi - Detached,Old Ottawa,Construct a shared rooftop deck on a 3 storey semi-detached dwelling,0,6000,624.31,1600055,Construction,2016-01-06 10:49
204,SUNNYRIDGE CRES ,K2M0H2,Ward 23,4M-1495,27,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 1 storey detached dwelling,1,312560.19,2594.2,1600056,Construction,2016-01-06 10:58
245,TRAILGATE ST ,K1V0Z9,Ward 22,4M1349,53,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 60-06 Englewood 2015 C,1,417529,2809,1600057,Construction,2016-01-06 10:59
156,DAHLIA AVE ,K1H6G2,Ward 18,616,20,***CONTRACTOR***,Single,Old Ottawa,Interior alterations in the basement of a 1 storey detached dwelling,0,8294,377,1600063,Construction,2016-01-06 11:23
21,EMERALD MEADOWS DR ,K2M2L3,Ward 23,4M-837,57,MODERN RENO SOLUTIONS,Single,Kanata,Finish a portion of the basement in a 2 storey detached dwelling (Kitchenette),0,5000,100,1600064,Construction,2016-01-06 11:35
348,AMIENS ST ,K1E1N9,Ward 1,27,23,RESIDENTIAL PROTECTIVE PLUMBING SERVICES,Single,Cumberland,PLUMBING ONLY- Install an open port backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1600065,Construction,2016-01-06 11:36
116,ROBERT TAITE DR ,K4C0B1,Ward 19,4M-1529,3,REMATEX CONSTRUCTION LTD.,Single,Cumberland,Construct a 1 storey detached dwelling,1,396571.52,2668,1600066,Construction,2016-01-06 11:40
2263,PORTOBELLO BLVD ,K4A0X3,Ward 19,,3,CARMANAH SOLAR POWER CORPORATION,Institutional,Cumberland,"Install 4 arrays of total 880 solar panels with 85 U-Anchors and 1,290-15kG and 772-6.6kG ballast pavers on a 1 storey institutional building (City Public Pool)",0,146916,0,1600075,Construction,2016-01-06 13:17
685,BIRCHLAND CRES ,K2S0S9,Ward 6,4M-1447,88,KANATA RENOVATIONS,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0,26012,700,1600076,Construction,2016-01-06 13:20
737,BROADVIEW AVE ,K2A2M3,Ward 15,469,26,CONTRACTOR UNKNOWN,Single,Old Ottawa,Exterior alterations to add a canopy (front entrance),0,5000,24,1600077,Construction,2016-01-06 13:25
5490,THUNDER RD ,K0A1K0,Ward 19,9,7,***CONTRACTOR***,Single,Gloucester,Construct a 1 storey addition (rear yard) to a 1 storey detached dwelling,0,70729.08,431.5,1600078,Construction,2016-01-06 14:03
2184,THURSTON DR ,K1G6E1,Ward 10,,2,WATERDON CONSTRUCTION,Industrial,Old Ottawa,Interior alterations to a 1 storey industrial building (Papa Jacks),0,7633,10,1600081,Construction,2016-01-06 14:37
2186,THURSTON DR ,K1G6E1,Ward 10,,2,WATERDON CONSTRUCTION,Industrial,Old Ottawa,Interior alterations to a 1 storey industrial building (Papa Jacks),0,7633,10,1600081,Construction,2016-01-06 14:37
306,SUGAR PINE CRES ,K2M0G9,Ward 23,4M1495,89,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,416935.2,2939,1600082,Construction,2016-01-06 14:38
24,PATRO ST ,K1N8B1,Ward 12,4M-43586,6,***CONTRACTOR***,Duplex,Old Ottawa,Remove and replace a 2nd storey balcony on a 2 storey duplex (side yard),0,2500,100,1600083,Construction,2016-01-06 15:24
1547,MERIVALE RD ,K2G4V3,Ward 9,588810,33,MINTO PROPERTIES INC,Mixed,Nepean,"Exterior alterations to a 1 storey mixed use building (Emerald Plaza - upgrade rear parking lot lighting, Unit U17)",0,60000,0,1600084,Construction,2016-01-06 15:26
179,LOREKA CRT ,K2S0N3,Ward 6,4M1390,21,KLINGER HOMES,Single,Goulbourn,Construct a 1 storey detached dwelling,1,392967,2350,1600085,Construction,2016-01-06 15:54
122,CHEYENNE WAY ,K2J0E9,Ward 3,4M-1277,30,***CONTRACTOR***,Single,Nepean,Install an enclosure for a hot tub (rear yard),0,0,0,1600086,Pool Enclosure,2016-01-06 16:10
1200,BLAIR RD ,,Ward 11,4M-648,,OLRT CONSTRUCTORS,Institutional,Gloucester,Construct a 1 storey OC Transpo bus operator building (Confederation Line - Blair OLRT Station),0,297383.01,2213,1600087,Construction,2016-01-07 8:50
161,KNUDSON DR ,K2K2L8,Ward 4,4M-510,23,BYERS CONTRACTING OTTAWA,Single,Kanata,Exterior alterations on the front of a 2 storey detached dwelling (gable at front entry),0,2000,32,1600088,Construction,2016-01-07 9:03
180,ELGIN ST ,K2P2K3,Ward 14,2996,57 &56,RON EASTERN CONSTRUCTION LTD.,Office,Old Ottawa,Tenant fit up on the 10th floor of a 15 storey office building (Micronutrient Initiative),0,22697,456,1600089,Construction,2016-01-07 9:27
822,LOOSESTRIFE WAY ,K1T0L8,Ward 20,4M-1492,,CONTRACTOR UNKNOWN,Rowhouse,Gloucester,Construct a deck (rear yard),0,2000,108,1600090,Construction,2016-01-07 9:28
149,HENDERSON AVE ,K1N7P5,Ward 12,37221,23,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Construct a 3 storey triplex,3,727964.4,6530,1600092,Construction,2016-01-07 10:28
149,HENDERSON AVE ,K1N7P5,Ward 12,37221,,8550107 CANADA INC,Demolition,Old Ottawa,"Demolish a 3 storey, 6 unit apartment building",-6,5000,-4627,1600093,Demolition,2016-01-07 10:29
866,CAMPBELL AVE ,K2A2C5,Ward 15,355,123,T.A. PEGG PLUMBING & HEATING LTD.,Retail,Old Ottawa,PLUMBING ONLY - Install a Large Capacity Sediment Interceptor on the drain.,0,0,0,1600094,Construction,2016-01-07 10:47
516,ACE ST ,K2V0G1,Ward 6,4M-,26,EQ HOMES,Single,Goulbourn,Construct a 1 storey detached dwelling,1,175000,2400,1600095,Construction,2016-01-07 10:52
81,YOHO DR ,K2M2R4,Ward 23,4M-803,190-191,CKC GROUP,Single,Kanata,PLUMBING ONLY - Addition of a bar sink to an island,0,0,0,1600096,Construction,2016-01-07 11:09
301,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
303,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
305,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
307,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
309,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
311,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
313,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
315,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
317,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
319,ELITE PRIV ,K2J0A1,Ward 3,761,,DGL CONSTRUCTION,Stacked Rowhouse,Nepean,Repairs to a 3 storey 10 unit stacked dwelling due to fire damage,0,600000,4000,1600097,Construction,2016-01-07 11:24
52,INVERNESS AVE ,K2E6N8,Ward 9,427936,617,THE OTTAWA HOME RENOVATORS,Single,Nepean,Interior alterations on the 1st floor of a 2 storey detached dwelliing,0,1800,150,1600098,Construction,2016-01-07 11:31
116,WILLOWLEA RD ,K0A1L0,Ward 21,4M300,,ARGUE CONSTRUCTION LTD.,Industrial,West Carleton,PLUMBING ONLY - Addition of new plumbing fixtures in a 1 storey warehouse - Mcfadden's (Unit # 7),0,0,0,1600099,Construction,2016-01-07 11:59
1053,CARLING AVE ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Repair the elevator shaft in an 8 storey institutional building (The Ottawa Hospital, Civic)",0,200000,0,1600100,Construction,2016-01-07 14:06
1053,CARLING AVE ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations to the 4th floor of a 8 storey hospital (Civic Campus - Parkdale Clinic - CPC/Dermatology),0,2500000,11034,1600101,Construction,2016-01-07 14:11
45,RAFTUS SQ ,K2J2K9,Ward 3,M-259,133,JUSTICE CONSTRUCTION LTD.,Single,Nepean,Interior alterations to support the ceiling in the kitchen in a 2 storey detached dwelling,0,4400,200,1600102,Construction,2016-01-07 14:19
2121,CARLING AVE ,K2A1S3,Ward 7,316039,,O'CONNOR CONSTRUCTION INC.,Retail,Old Ottawa,"Tenant fit up in a 1 storey retail building (Carlingwood Mall, CRU #38, Showcase)",0,50000,1117,1600103,Construction,2016-01-07 14:36
998,FRANCES ST ,K1K3L5,Ward 13,,8,J.A.N. PLUMBING,Institutional,Old Ottawa,PLUMBING ONLY - Install 2 new sinks and 1 new washing machine hook-up in the basement of a 2 storey commercial building (daycare),0,0,0,1600104,Construction,2016-01-07 15:24
8231,CAMPEAU DR ,K2T0A2,Ward 4,,1,LUNDY M.P. CONSTRUCTION,Retail,Kanata,Tenant Fit-up in a 1 storey retail building (La-Z-Boy Furniture Store),0,1300000,1825,1600105,Construction,2016-01-08 8:42
1,ROCKWOOD ST ,K1N8L8,Ward 12,106707,44 & 45,CONTRACTOR UNKNOWN,Single,Old Ottawa,Install a wood insert in a 2 storey detached dwelling (main floor),0,5000,0,1600107,Construction,2016-01-08 8:57
1631,ORTONA AVE ,K2C1W4,Ward 16,455,PT LOT 81,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for a hot tub  (side yard),0,0,0,1600108,Pool Enclosure,2016-01-08 9:06
316,ATHLONE AVE ,K1Z5M4,Ward 15,263,62,HUBERT CORPORATION,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,1,660256.96,4610,1600109,Construction,2016-01-08 9:30
318,ATHLONE AVE ,K1Z5M4,Ward 15,263,62,HUBERT CORPORATION,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,1,660256.96,4610,1600109,Construction,2016-01-08 9:30
318,ATHLONE AVE ,K1Z5M4,Ward 15,263,62,HUBERT CORPORATION,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,20000,-2153,1600110,Demolition,2016-01-08 9:32
400,COOPER ST ,K2P2H8,Ward 14,,,4083261 CANADA INC. / LE GROUPE FIA-Old Address,Office,Old Ottawa,Tenant fit-up on the 2nd floor of an 11 storey office building (Ottawa Chinese Community Service Centre),0,332900,7950,1600111,Construction,2016-01-08 9:51
282,SOMERSET ST W,K2P0J6,Ward 14,15558,47,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior/exterior alterations in a 3 storey office building,0,15000,269.1,1600112,Construction,2016-01-08 10:02
