Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-16-0045,2016-04-12,Site Plan Control,261 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,269 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,269 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,269 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,269 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,277 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,277 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,277 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,277 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,260 MURRAY Street,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,260 MURRAY Street,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,260 MURRAY Street,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,260 MURRAY Street,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D01-01-16-0012,2016-05-10,Official Plan Amendment,102 BILL LEATHEM Drive,OMB Package Sent,Active,Mike Schmidt,"The City of Ottawa has received three associated applications including an Official Plan Amendment, a Zoning By-law Amendment and a Site Plan Control application to accommodate the development of a multi-purpose facility which is proposed to include place of worship, place of assembly and community centre uses which are to be operated by the Salvation Army.",2017-05-23 10:10,Ward 24,BARRHAVEN EAST,
D07-12-16-0071,2016-05-19,Site Plan Control,2012 OGILVIE Road,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,revision to the rear property of the perviously approved development plan for the purpose of a warehouse club reatil store and associated gas bar,2021-04-08 09:33,Ward 11,BEACON HILL-CYRVILLE,
D07-12-16-0072,2016-05-20,Site Plan Control,349 OLMSTEAD Street,Agreement Registered - Securities Held,Post Approval,Steve Gauthier,elementary school,2018-07-31 15:54,Ward 12,RIDEAU-VANIER,
D07-05-16-0002,2016-04-15,Demolition Control,59 CARRUTHERS Avenue,Agreement Registered - Securities Held,Post Approval,Ann O'Connor,"The purpose of the application is to permit the demolition of a one and a half storey single family dwelling located at 59 Carruthers Avenue, which would allow for the site to be remediated in advance of a Site Plan Control Approval to facilitate quicker construction timelines.",2016-10-20 10:44,Ward 15,KITCHISSIPPI,
D07-12-16-0048,2016-04-22,Site Plan Control,559 RIVERDALE Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Steve Gauthier,Construction of a low-rise apartment building,2022-02-04 11:47,Ward 17,CAPITAL,
D07-12-16-0052,2016-04-25,Site Plan Control,590 RIDEAU Street,Application File Pending,File Pending,Allison Hamlin,A Site Plan application to permit the development of a 7-storey mixed-use condominium building with 68 units and retail space at grade.,2016-06-24 13:10,Ward 12,RIDEAU-VANIER,
D07-12-16-0052,2016-04-25,Site Plan Control,594 RIDEAU Street,Application File Pending,File Pending,Allison Hamlin,A Site Plan application to permit the development of a 7-storey mixed-use condominium building with 68 units and retail space at grade.,2016-06-24 13:10,Ward 12,RIDEAU-VANIER,
D07-12-16-0074,2016-05-26,Site Plan Control,18 MCARTHUR Avenue,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"The property is located on the south side of McArthur Avenue, east of North River Road in the Rideau-Vanier ward. The site is currently occupied by a surface parking lot.

It is proposed to construct a three-storey residential building containing eight residential units. Each unit is proposed to have four bedrooms. The total gross floor area of the building is 706.3 square metres. Amenity space is proposed on the rooftop as well as in the rear yard. A total of 16 bicycle parking spaces are proposed.",2018-11-20 15:32,Ward 12,RIDEAU-VANIER,
D07-12-16-0119,2016-08-05,Site Plan Control,119 RIDEAU Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,new 2 storey bank building with shared station head (Rideau Street East Station along William Street),2022-07-27 16:27,Ward 12,RIDEAU-VANIER,
D07-12-16-0119,2016-08-05,Site Plan Control,119 RIDEAU Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,new 2 storey bank building with shared station head (Rideau Street East Station along William Street),2022-07-27 16:27,Ward 12,RIDEAU-VANIER,
D07-12-16-0132,2016-09-07,Site Plan Control,329 MARCH Road,Application File Pending,File Pending,Colette Gorni,"Application to develop a three unit, single-storey commercial building that is 380 square metres in size. it is a standalone structure that is planned to be located at the southeast corner of the site. It is in addition to the two existing, two-storey commercial buildings on site.",2016-11-16 16:03,Ward 4,KANATA NORTH,
D02-02-16-0097,2016-11-10,Zoning By-law Amendment,5618 HAZELDEAN Road,Zoning By-law in Effect,Inactive,Sarah Ezzio,"Rezoning from AG to various zones to permit subdivision made up of residential development (detached, townhouse and apartment units), commercial blocks, parks, open space corridor and stormwater management pond.",2023-07-10 12:08,Ward 6,STITTSVILLE,
D02-02-16-0081,2016-09-30,Zoning By-law Amendment,180 ISLAND PARK Drive,Application Refused by Council,Inactive,Jean-Charles Renaud,To demolish existing two storey Royal Thai Embassy and to construct new two storey embassy building,2019-01-30 09:14,Ward 15,KITCHISSIPPI,
D07-16-16-0018,2016-10-03,Plan of Subdivision,3387 BORRISOKANE Road,Agreement Registered - Securities Held,Post Approval,Sean Moore,"The applicant proposes to develop a total of 211 residential units fronting on 7 streets, including 117 single detached dwellings and 94 townhouse dwellings. The proposed subdivision also includes 1 park block, 1 open space block (representing the flood plain), 1 school block, 1 stormwater management block and 1 commericial block.  The subdivision will connect to the local arterial road, known as Borrisokane Road, and will connect with the street network within in the neighbouring development known as Half Moon Bay.  

The applicant is proposing to rezone the subject lands from Development Reserve (DR) to Residential Third Density (R3YY[1909]), Open Space (O1), Local Commercial (LC) and Minor Institutional (1A) in order to accommodate the uses within the draft plan of subdivision.",2022-11-22 08:54,Ward 3,BARRHAVEN WEST,
D02-02-16-0090,2016-10-24,Zoning By-law Amendment,137 GEORGE Street,Application Approved by Council,Post Approval,Erin O'Connell,To establish a temporary surface parking lot on the site,2017-05-10 11:52,Ward 12,RIDEAU-VANIER,
D02-02-16-0090,2016-10-24,Zoning By-law Amendment,141 GEORGE Street,Application Approved by Council,Post Approval,Erin O'Connell,To establish a temporary surface parking lot on the site,2017-05-10 11:52,Ward 12,RIDEAU-VANIER,
D07-16-17-0001,2017-01-10,Plan of Subdivision,3370 GREENBANK Road,Agreement Registered - Securities Held,Post Approval,John Bernier,"The City of Ottawa has received three applications, including an Official Plan Amendment, a Zoning By-law Amendment, and a Plan of Subdivision. These applications propose the development of a medium to high-density residential neighbourhood, which includes: a variety of townhouse types, high-rise condominium buildings, a parkette, and a district park",2022-12-23 11:44,Ward 3,BARRHAVEN WEST,
D01-01-16-0022,2016-12-02,Official Plan Amendment,300 GOULBOURN FORCED Road,Comment Period has Ended/Issue Resolution,Active,Lily Xu,City - NOTE: This is a false application file that is created to allow easy public access to documents related to KNL development post registration.,2016-12-02 16:17,Ward 4,KANATA NORTH,
D02-02-16-0113,2016-12-22,Zoning By-law Amendment,373 PRINCETON Avenue,By-law Passed - In Appeal Period,Post Approval,Erin O'Connell,"Zoning By-Law Amendment proposal to permit the construction of 16 new dwellings adjacent to the existing Institut Jeanne d'Arc building, which will remain.",2018-05-14 12:31,Ward 15,KITCHISSIPPI,
D02-02-16-0114,2016-12-22,Zoning By-law Amendment,457 TERRY FOX Drive,Application File Pending,File Pending,Sarah Ezzio,Plan of subdividion for apx 435 dwellings,2017-03-17 16:30,Ward 4,KANATA NORTH,
D07-16-16-0024,2016-12-22,Plan of Subdivision,457 TERRY FOX Drive,Application File Pending,File Pending,Sarah Ezzio,Plan of subdvision for apx 435 dwellings,2017-04-18 16:27,Ward 4,KANATA NORTH,
D07-16-17-0007,2017-03-07,Plan of Subdivision,4789 BANK Street,Agreement Registered - Securities Held,Post Approval,Wendy Tse,The City of Ottawa has received applications for Zoning By-law Amendment and Plan of Subdivision to permit a 467 unit urban residential subdivision with mixed use development along Bank Street.,2020-07-24 11:55,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-05-17-0002,2017-03-03,Demolition Control,143 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-05-17-0002,2017-03-03,Demolition Control,145 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-05-17-0002,2017-03-03,Demolition Control,147 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-05-17-0002,2017-03-03,Demolition Control,149 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-05-17-0002,2017-03-03,Demolition Control,151 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-05-17-0002,2017-03-03,Demolition Control,153 ARLINGTON Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Allison Hamlin,net increase of 4 residential units,2017-07-14 14:55,Ward 14,SOMERSET,
D07-12-14-0201,2014-12-23,Site Plan Control,"1599 ST-LAURENT, BOUL ",Agreement Registered - Securities Held,Post Approval,Kersten Nitsche,"The City of Ottawa has received a Site Plan Control application for the development of a new truck transport terminal including a one-storey warehouse with 44 loading bays, 36 surface loading spaces, and 28 employee surface parking spaces.

Roadway Modifications may be required.",2015-10-14 10:11,Ward 18,ALTA VISTA,
D07-12-14-0201,2014-12-23,Site Plan Control,"1599 ST-LAURENT, BOUL ",Agreement Registered - Securities Held,Post Approval,Kersten Nitsche,"The City of Ottawa has received a Site Plan Control application for the development of a new truck transport terminal including a one-storey warehouse with 44 loading bays, 36 surface loading spaces, and 28 employee surface parking spaces.

Roadway Modifications may be required.",2015-10-14 10:11,Ward 18,ALTA VISTA,
D07-12-14-0201,2014-12-23,Site Plan Control,"1599 ST-LAURENT, BOUL ",Agreement Registered - Securities Held,Post Approval,Kersten Nitsche,"The City of Ottawa has received a Site Plan Control application for the development of a new truck transport terminal including a one-storey warehouse with 44 loading bays, 36 surface loading spaces, and 28 employee surface parking spaces.

Roadway Modifications may be required.",2015-10-14 10:11,Ward 18,ALTA VISTA,
D07-12-14-0200,2014-12-23,Site Plan Control,333 HUNTMAR Drive,Application File Pending,File Pending,Laurel Mccreight,"The applicant is proposing to develop seven commercial buildings on the site, consisting of six free-standing pads intended for restaurant uses, and one six-storey hotel. The development is Phase 2 of the Tanger Retail Outlet Centre.",2015-02-17 11:41,Ward 4,KANATA NORTH,
D01-01-14-0027,2014-12-22,Official Plan Amendment,0  ,Application File Pending,File Pending,Krista Libman,City-initiated Official Plan amendment to identify potential/future railway corridors and add new policies regarding the regulation of setbacks from railway corridors through zoning.,2016-01-20 15:43,City Wide,,
D07-12-15-0072,2015-04-17,Site Plan Control,1545 WOODROFFE Avenue,Application File Pending,File Pending,Melissa Jort-Conway,"The City of Ottawa has received a Site Plan application to construct a new convenience store building, new pumps and canopy and a new car wash at the existing Esso gas station.",2015-12-22 15:23,Ward 9,KNOXDALE-MERIVALE,
D07-12-15-0072,2015-04-17,Site Plan Control,1545 WOODROFFE Avenue,Application File Pending,File Pending,Melissa Jort-Conway,"The City of Ottawa has received a Site Plan application to construct a new convenience store building, new pumps and canopy and a new car wash at the existing Esso gas station.",2015-12-22 15:23,Ward 9,KNOXDALE-MERIVALE,
D07-12-15-0079,2015-04-23,Site Plan Control,1125 COLONEL BY Drive,Application File Pending,File Pending,Stephen Belan,14 storey student residence with 204 suites,2015-07-20 10:54,Ward 17,CAPITAL,
D07-12-15-0117,2015-06-30,Site Plan Control,137 BAY Street,Application File Pending,File Pending,Allison Hamlin,"The City of Ottawa has received applications for Zoning By-law Amendment, Site Plan Control, and Demolition Control to permit the development of a 27-storey hotel and a 23-storey residential apartment building with ground level commercial space, an addition to the existing office building, and underground garage with 348 parking spaces.",2015-09-04 11:35,Ward 14,SOMERSET,
D07-12-15-0117,2015-06-30,Site Plan Control,350 SPARKS Street,Application File Pending,File Pending,Allison Hamlin,"The City of Ottawa has received applications for Zoning By-law Amendment, Site Plan Control, and Demolition Control to permit the development of a 27-storey hotel and a 23-storey residential apartment building with ground level commercial space, an addition to the existing office building, and underground garage with 348 parking spaces.",2015-09-04 11:35,Ward 14,SOMERSET,
D07-16-15-0007,2015-07-07,Plan of Subdivision,6000 MARY ANNE Drive,OMB Package Sent,Post Approval,Sean Moore,Extension of Draft Plan Approval for Phase III of Shadowridge,2016-06-14 08:30,Ward 20,OSGOODE,
D01-01-15-0009,2015-06-12,Official Plan Amendment,0  ,OMB Package Sent,Post Approval,Krista Libman,City Initiated - To enable the City to withhold subdivision approval until parties enter into a cost-sharing agreement for parks development,2015-11-09 13:44,Multiple Wards,,
D07-05-15-0002,2015-07-28,Demolition Control,148 NEPEAN Street,Agreement Package Received from Owner,Post Approval,Ann O'Connor,The applicant wishes to demolish the two existing residential buildings at 144-148 Nepean Street.,2018-06-01 11:11,Ward 14,SOMERSET,
D07-05-15-0003,2015-07-28,Demolition Control,144 NEPEAN Street,Agreement Package Received from Owner,Post Approval,Ann O'Connor,The purpose of the Demolition Control Proposal is to permit the demolition of two existing dwellings known as 144-146 Nepean Street and 148 Nepean Street.,2018-06-01 11:09,Ward 14,SOMERSET,
D07-05-15-0003,2015-07-28,Demolition Control,146 NEPEAN Street,Agreement Package Received from Owner,Post Approval,Ann O'Connor,The purpose of the Demolition Control Proposal is to permit the demolition of two existing dwellings known as 144-146 Nepean Street and 148 Nepean Street.,2018-06-01 11:09,Ward 14,SOMERSET,
D07-05-15-0004,2015-07-31,Demolition Control,93 NORMAN Street,Request for Agreement Received,Post Approval,Ann O'Connor,"The applicant wishes to demolish the existing dwellings municipally known as 93, 95, 97, 99, 103 and 105 Norman Street. There is an OPA and SPC application on-site which are currently on-hold pending an OMB decision on a Council approved ZBLA.",2018-04-13 18:31,Ward 14,SOMERSET,
D07-05-15-0004,2015-07-31,Demolition Control,99 NORMAN Street,Request for Agreement Received,Post Approval,Ann O'Connor,"The applicant wishes to demolish the existing dwellings municipally known as 93, 95, 97, 99, 103 and 105 Norman Street. There is an OPA and SPC application on-site which are currently on-hold pending an OMB decision on a Council approved ZBLA.",2018-04-13 18:31,Ward 14,SOMERSET,
D07-05-15-0004,2015-07-31,Demolition Control,103 NORMAN Street,Request for Agreement Received,Post Approval,Ann O'Connor,"The applicant wishes to demolish the existing dwellings municipally known as 93, 95, 97, 99, 103 and 105 Norman Street. There is an OPA and SPC application on-site which are currently on-hold pending an OMB decision on a Council approved ZBLA.",2018-04-13 18:31,Ward 14,SOMERSET,
D07-05-15-0004,2015-07-31,Demolition Control,105 NORMAN Street,Request for Agreement Received,Post Approval,Ann O'Connor,"The applicant wishes to demolish the existing dwellings municipally known as 93, 95, 97, 99, 103 and 105 Norman Street. There is an OPA and SPC application on-site which are currently on-hold pending an OMB decision on a Council approved ZBLA.",2018-04-13 18:31,Ward 14,SOMERSET,
D07-04-15-0026,2015-08-21,Plan of Condominium,27 SCISSONS Road,Application File Pending,File Pending,Kathy Rygus,"The City of Ottawa has received a Zoning By-law Amendment, Plan of Subdivision and Plan of Condominium (Common Elements) application to construct 16 single detached dwellings of one and two storeys which will front onto a private road. 

Since the lots will front onto a private road, a Plan of Condominium is required to create the common element road block. The private road will have a width of 6.7 metres and will have two access points to Scissons Road. Through the Plan of Condominium, the homeowners will share ownership of the road, as well as costs associated with other facilities and services.",2015-10-07 13:49,Ward 23,KANATA SOUTH,
D07-04-15-0026,2015-08-21,Plan of Condominium,33 SCISSONS Road,Application File Pending,File Pending,Kathy Rygus,"The City of Ottawa has received a Zoning By-law Amendment, Plan of Subdivision and Plan of Condominium (Common Elements) application to construct 16 single detached dwellings of one and two storeys which will front onto a private road. 

Since the lots will front onto a private road, a Plan of Condominium is required to create the common element road block. The private road will have a width of 6.7 metres and will have two access points to Scissons Road. Through the Plan of Condominium, the homeowners will share ownership of the road, as well as costs associated with other facilities and services.",2015-10-07 13:49,Ward 23,KANATA SOUTH,
D07-04-15-0026,2015-08-21,Plan of Condominium,35 SCISSONS Road,Application File Pending,File Pending,Kathy Rygus,"The City of Ottawa has received a Zoning By-law Amendment, Plan of Subdivision and Plan of Condominium (Common Elements) application to construct 16 single detached dwellings of one and two storeys which will front onto a private road. 

Since the lots will front onto a private road, a Plan of Condominium is required to create the common element road block. The private road will have a width of 6.7 metres and will have two access points to Scissons Road. Through the Plan of Condominium, the homeowners will share ownership of the road, as well as costs associated with other facilities and services.",2015-10-07 13:49,Ward 23,KANATA SOUTH,
D07-05-15-0006,2015-08-21,Demolition Control,293 LISGAR Street,Request for Agreement Received,Post Approval,Amanda Marsh,Permit the demolition of a vacant three-storey residential use building prior to a permit to construct.,2016-01-05 09:14,Ward 14,SOMERSET,
D07-12-15-0184,2015-11-26,Site Plan Control,2781 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2785 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
D07-12-15-0184,2015-11-26,Site Plan Control,2795 BASELINE Road,Application File Pending,File Pending,Stream Shen,Revision to existing approved site plan application for apartment building E.,2016-01-11 16:16,Ward 8,COLLEGE,
OZP2002-0132,2020-02-03,Zoning By-law Amendment,2625 CARP Road,Zoning By-law in Effect,Inactive,Sarah Mccormick,"62 rural lots together with 2 open space/park blocks, 3 blocks for public access and 3 commercial/industrial blocks.",2022-11-02 10:52,Ward 5,WEST CARLETON-MARCH,
OZP2002-0132,2020-02-03,Zoning By-law Amendment,2727 CARP Road,Zoning By-law in Effect,Inactive,Sarah Mccormick,"62 rural lots together with 2 open space/park blocks, 3 blocks for public access and 3 commercial/industrial blocks.",2022-11-02 10:52,Ward 5,WEST CARLETON-MARCH,
OLV2002-0020,2020-02-03,Plan of Subdivision,2727 CARP Road,No Appeal,Post Approval,Sarah Mccormick,"Draft Approval for 62 residential country estate lots together with 2 open space/park blocks, 3 blocks for park access and 3 commercial/industrial blocks.",2022-01-09 11:26,Ward 5,WEST CARLETON-MARCH,
